name,url,price_text,review_score_text,recommended_unit_text
Apollon Hotel,https://www.booking.com/hotel/gr/apollon-chania1.en-gb.html,€ 57,Scored 8.6 8.6 Fabulous 214 reviews,Double Room with Private Bathroom 1 double bed Free cancellation Only 6 rooms left at this price on our site
ANTEL Suites & Apartments,https://www.booking.com/hotel/gr/antel-suites-and-apartments.en-gb.html,€ 77,Scored 9.7 9.7 Exceptional 583 reviews,Standard Triple Room Multiple bed types Free cancellation Only 2 left at this price on our site
Royal Sun,https://www.booking.com/hotel/gr/royal-sun.en-gb.html,€ 79,"Scored 9.2 9.2 Superb 2,048 reviews",Single Room with Sea View 1 single bed Breakfast included
Sapphire Blue Suites,https://www.booking.com/hotel/gr/sapphire-blue-suites.en-gb.html,€ 74,Scored 9.4 9.4 Superb 261 reviews,"Suite Private suite • 1 bedroom • 1 living room • 1 bathroom • 55 m² 2 beds (1 double, 1 sofa bed) Only 1 left at this price on our site"
Sapphire Horizon Suites,https://www.booking.com/hotel/gr/sapphire-horizon-suites.en-gb.html,€ 72,Scored 9.4 9.4 Superb 256 reviews,Junior Suite with Mountain View Private suite • 1 bedroom • 1 living room • 1 bathroom • 48 m² 1 large double bed Only 1 left at this price on our site
Corinna Mare,https://www.booking.com/hotel/gr/corinna-mare.en-gb.html,€ 71,Scored 9.1 9.1 Superb 977 reviews,"Suite street view Private suite • 1 bedroom • 1 living room • 1 bathroom • 35 m² 3 beds (1 extra-large double, 2 sofa beds) Only 3 left at this price on our site"
Irida Hotel,https://www.booking.com/hotel/gr/irida-khania.en-gb.html,€ 95,"Scored 8.9 8.9 Fabulous 1,349 reviews",Superior Double or Twin Room with City View Beds: 1 double or 2 singles Breakfast included Only 1 room left at this price on our site
La Mer Resort & Spa Crete,https://www.booking.com/hotel/gr/la-mer-resort-amp-spa-georgioupolis.en-gb.html,€ 141,Scored 9.2 9.2 Superb 903 reviews,Essential Room Breakfast included
Camere Maritima,https://www.booking.com/hotel/gr/camere-maritima-chania.en-gb.html,€ 97,Scored 9.6 9.6 Exceptional 372 reviews,Standard Double or Twin Room 1 double bed Free cancellation Only 2 rooms left at this price on our site
Morum City Hotel Chania,https://www.booking.com/hotel/gr/morum-city-chania.en-gb.html,€ 105,"Scored 9.1 9.1 Superb 1,003 reviews",Deluxe Single Room with Balcony 1 single bed Breakfast included Only 1 room left at this price on our site
Alexis Hotel,https://www.booking.com/hotel/gr/alexis.en-gb.html,€ 127,Scored 8.7 8.7 Fabulous 735 reviews,Double or Twin Room Beds: 1 double or 2 singles Breakfast included Free cancellation Only 5 rooms left at this price on our site
Cocoon City Hostel,https://www.booking.com/hotel/gr/cocoon-city-hostel.en-gb.html,€ 18,"Scored 9.0 9.0 Superb 1,838 reviews",Bed in 8-Bed Mixed Dormitory Room Bed in dormitory 1 bunk bed Free cancellation
Gregory Comfort Hotel,https://www.booking.com/hotel/gr/gregory-comfort.en-gb.html,€ 73,"Scored 8.8 8.8 Fabulous 1,425 reviews",Standard Double Room 1 large double bed Breakfast included
Endless Blue Suites,https://www.booking.com/hotel/gr/endless-blue-suites.en-gb.html,€ 83,Scored 8.6 8.6 Fabulous 76 reviews,Deluxe Double Room with Sea View 1 extra-large double bed Free cancellation No prepayment needed – pay at the property Only 1 room left at this price on our site
Sofias Home,https://www.booking.com/hotel/gr/sofias-home.en-gb.html,€ 65,Scored 8.9 8.9 Fabulous 174 reviews,"Holiday Home Entire holiday home • 2 bedrooms • 1 bathroom • 44 m² 2 beds (1 sofa bed, 1 large double) Free cancellation"
Renieris Hotel,https://www.booking.com/hotel/gr/renieris.en-gb.html,€ 79,Scored 9.4 9.4 Superb 521 reviews,Twin Room - Special Offer Garden View 1 single bed Breakfast included Free cancellation No prepayment needed – pay at the property Only 1 room left at this price on our site
Centro Storico,https://www.booking.com/hotel/gr/centro-storico.en-gb.html,€ 93,Scored 9.1 9.1 Superb 770 reviews,Superior Studio with Garden View Entire studio • 1 bathroom • 20 m² Beds: 1 double or 2 singles Only 1 left at this price on our site
Hotel Amphora,https://www.booking.com/hotel/gr/amphora.en-gb.html,€ 94,Scored 9.2 9.2 Superb 292 reviews,Economy Double Room Beds: 1 double or 2 singles Only 1 room left at this price on our site
Plaza 1866 Superior City Rooms,https://www.booking.com/hotel/gr/plaza1866.en-gb.html,€ 87,Scored 9.6 9.6 Exceptional 370 reviews,Standard Single Room with Internal View 1 single bed Only 1 room left at this price on our site
Giannoulis - Santa Marina Plaza (Adults Only),https://www.booking.com/hotel/gr/santa-marina-plaza.en-gb.html,€ 144,Scored 8.9 8.9 Fabulous 88 reviews,"Economy Double or Twin Room 2 beds (1 sofa bed, 1 large double) Breakfast included Only 1 room left at this price on our site"
Iolkos Hotel Apartments,https://www.booking.com/hotel/gr/iolkos-apartments.en-gb.html,€ 55,Scored 9.4 9.4 Superb 195 reviews,Studio with Garden View Entire studio • 1 bathroom • 30 m² Multiple bed types Only 2 left at this price on our site
Kriti Hotel,https://www.booking.com/hotel/gr/kritihotel.en-gb.html,€ 104,Scored 8.8 8.8 Fabulous 921 reviews,Economy Twin Room 2 single beds Breakfast included Free cancellation
Elysia Boutique Hotel,https://www.booking.com/hotel/gr/elysia-boutique-khania.en-gb.html,€ 264,Scored 9.9 9.9 Exceptional 181 reviews,Superior Double Room 1 large double bed Breakfast included Free cancellation Only 1 room left at this price on our site
Trianon Luxury Apartments & Suites,https://www.booking.com/hotel/gr/trianon-luxury-apartments-amp-suites.en-gb.html,€ 75,Scored 8.7 8.7 Fabulous 896 reviews,Double Room 1 large double bed
Pantheon Aparthotel,https://www.booking.com/hotel/gr/pantheon-apartments-chania-town.en-gb.html,€ 57,Scored 7.6 7.6 Good 383 reviews,Studio with Sea View Entire studio • 1 bathroom • 22 m² 1 double bed Only 2 left at this price on our site
Studios Staring at the Sunset,https://www.booking.com/hotel/gr/studio-staring-at-the-sunset.en-gb.html,€ 63,Scored 8.9 8.9 Fabulous 83 reviews,Studio Apartment with Sea View Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 24 m² 1 double bed Free cancellation Only 1 left at this price on our site
Maria Beach Hotel,https://www.booking.com/hotel/gr/maria-beach.en-gb.html,€ 66,Scored 9.0 9.0 Superb 640 reviews,Standard Double Room Beds: 1 double or 2 singles Only 1 room left at this price on our site
Epavli Boutique Hotel,https://www.booking.com/hotel/gr/epavli-chania.en-gb.html,€ 109,Scored 9.5 9.5 Exceptional 600 reviews,Standard Double or Twin Room 1 extra-large double bed Breakfast included Only 1 room left at this price on our site
Georgioupolis Beach Hotel,https://www.booking.com/hotel/gr/georgioupolis-beach.en-gb.html,€ 154,Scored 9.0 9.0 Superb 133 reviews,Deluxe Single Room 1 single bed Breakfast & dinner included Free cancellation No prepayment needed – pay at the property Only 4 rooms left at this price on our site
La Sistina,https://www.booking.com/hotel/gr/la-sistina.en-gb.html,€ 136,Scored 8.8 8.8 Fabulous 15 reviews,"Three-Bedroom Deluxe Apartment Entire apartment • 3 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 140 m² 3 beds (1 extra-large double, 2 large doubles)"
ELG Contessa Boutique Hotel,https://www.booking.com/hotel/gr/contessa.en-gb.html,€ 93,Scored 8.5 8.5 Very good 327 reviews,Economy Interior Double Room 1 double bed Only 1 room left at this price on our site
Akrotiri Hotel,https://www.booking.com/hotel/gr/akrotiri-hotel-chania.en-gb.html,€ 86,Scored 9.0 9.0 Superb 153 reviews,Single Room 1 double bed Breakfast included Only 1 room left at this price on our site
Frida Apartments,https://www.booking.com/hotel/gr/frida.en-gb.html,€ 90,Scored 8.8 8.8 Fabulous 681 reviews,Double Studio Entire studio • 1 bathroom • 25 m² 1 double bed Only 2 left at this price on our site
Giannoulis - Grand Bay Beach Resort (Exclusive Adults Only),https://www.booking.com/hotel/gr/grand-bay-beach-resort.en-gb.html,€ 118,Scored 8.3 8.3 Very good 123 reviews,Standard Double Room with Garden View Beds: 1 double or 2 singles Breakfast included Only 4 rooms left at this price on our site
Diporto,https://www.booking.com/hotel/gr/todiporto-rooms.en-gb.html,€ 41,Scored 8.3 8.3 Very good 852 reviews,Budget Double Room 1 double bed Only 5 rooms left at this price on our site
Elotis Suites,https://www.booking.com/hotel/gr/elotis-suites.en-gb.html,€ 55,Scored 8.7 8.7 Fabulous 79 reviews,"Studio Entire studio • 1 bathroom • 25 m² 3 beds (2 singles, 1 sofa bed) Free cancellation Only 1 left at this price on our site"
Cretan Renaissance,https://www.booking.com/hotel/gr/cretan-renaissance.en-gb.html,€ 191,Scored 9.4 9.4 Superb 334 reviews,Deluxe Double Room with Sea View and Balcony (Aretousa) 1 large double bed Breakfast included Only 1 room left at this price on our site
Bluebell Luxury Suites,https://www.booking.com/hotel/gr/bluebell-luxury-suites.en-gb.html,€ 86,Scored 8.7 8.7 Fabulous 297 reviews,Double Suite Ground Floor Private suite 1 large double bed Free cancellation Only 1 left at this price on our site
Hotel Off,https://www.booking.com/hotel/gr/off.en-gb.html,€ 132,Scored 9.5 9.5 Exceptional 615 reviews,Economy Double Room with City View 1 large double bed Breakfast included Only 1 room left at this price on our site
Porto Veneziano Hotel,https://www.booking.com/hotel/gr/bw-porto-veneziano.en-gb.html,€ 145,"Scored 9.3 9.3 Superb 1,138 reviews",Economy Single Room 1 double bed Breakfast included Only 4 rooms left at this price on our site
Cozy Corner Luxury Apartments,https://www.booking.com/hotel/gr/cozy-corner.en-gb.html,€ 102,Scored 9.7 9.7 Exceptional 243 reviews,"One-Bedroom Apartment Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 25 m² 2 beds (1 sofa bed, 1 large double) Free cancellation Only 2 left at this price on our site"
Milos Alexandra Studio,https://www.booking.com/hotel/gr/milos-studios-frangokastello.en-gb.html,€ 59,Scored 8.6 8.6 Fabulous 100 reviews,"Studio Apartment with Sea View Entire apartment • 1 bedroom • 1 bathroom • 30 m² 3 beds (2 singles, 1 sofa bed) Only 3 left at this price on our site"
Elpida Seafront Paradise apartment in Crete,https://www.booking.com/hotel/gr/elpida-seafront-paradise.en-gb.html,€ 206,Scored 9.0 9.0 Superb 12 reviews,"Apartment Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 55 m² 2 beds (1 single, 1 large double)"
Atrion Resort Hotel,https://www.booking.com/hotel/gr/atrion.en-gb.html,€ 72,Scored 8.8 8.8 Fabulous 247 reviews,"Studio with Terrace Entire studio 3 beds (2 singles, 1 sofa bed) Breakfast included Only 3 left at this price on our site"
TheJoy,https://www.booking.com/hotel/gr/the-joy-hotel.en-gb.html,€ 65,Scored 8.7 8.7 Fabulous 293 reviews,Standard Double or Twin Room Beds: 1 double or 2 singles Free cancellation Only 2 rooms left at this price on our site
Halepa Hotel,https://www.booking.com/hotel/gr/halepahotel.en-gb.html,€ 99,Scored 8.9 8.9 Fabulous 457 reviews,Standard Single Room Multiple bed types Breakfast included Only 2 rooms left at this price on our site
Georgioupolis Plaza Suites,https://www.booking.com/hotel/gr/georgioupoli-plaza-suites.en-gb.html,€ 61,Scored 8.6 8.6 Fabulous 136 reviews,Suite Private suite 1 double bed Free cancellation Only 1 left at this price on our site
Nima Boutique Hotel,https://www.booking.com/hotel/gr/nima-boutique.en-gb.html,€ 78,Scored 9.4 9.4 Superb 569 reviews,"Standard Room 2 beds (1 double, 1 sofa bed) Breakfast included Free cancellation Only 2 rooms left at this price on our site"
"Chania Flair Boutique Hotel, Adults only, Tapestry Collection by Hilton",https://www.booking.com/hotel/gr/chania-flair-boutique-hotel-tapestry-collection-by-hilton.en-gb.html,€ 189,Scored 9.4 9.4 Superb 318 reviews,Style King Room 1 extra-large double bed Breakfast included
Yasmine Apartments and Rooms,https://www.booking.com/hotel/gr/jasmine-by-bluebell-apartments.en-gb.html,€ 74,Scored 9.0 9.0 Superb 220 reviews,Queen Room with Garden View 1 double bed Free cancellation Only 1 room left at this price on our site
Giannoulis – Santa Marina Beach Hotel,https://www.booking.com/hotel/gr/santa-marina-beach.en-gb.html,€ 103,Scored 8.3 8.3 Very good 96 reviews,Single Room with Garden View 1 single bed Breakfast included Only 1 room left at this price on our site
Fivos Pension,https://www.booking.com/hotel/gr/pension-fivos.en-gb.html,€ 42,Scored 8.8 8.8 Fabulous 517 reviews,Double Room 1 double bed Free cancellation No prepayment needed – pay at the property Only 1 room left at this price on our site
Ionas Boutique Hotel,https://www.booking.com/hotel/gr/ionas.en-gb.html,€ 132,Scored 9.4 9.4 Superb 395 reviews,Double Room - Ground Floor Beds: 1 double or 2 singles Breakfast included Free cancellation Only 1 room left at this price on our site
No17 Pireos Street,https://www.booking.com/hotel/gr/no17-pireos-street.en-gb.html,€ 207,Scored 9.6 9.6 Exceptional 51 reviews,"Two-Bedroom Apartment Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 90 m² 4 beds (2 singles, 1 sofa bed, 1 large double) Free cancellation"
Charming apartment in Halepa!,https://www.booking.com/hotel/gr/charming-apartment-in-halepa.en-gb.html,€ 40,Scored 9.1 9.1 Superb 91 reviews,"One-Bedroom Apartment Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 40 m² 2 beds (1 double, 1 sofa bed)"
Monastery Estate Venetian Harbor,https://www.booking.com/hotel/gr/monastery-estate-chania.en-gb.html,€ 235,Scored 9.4 9.4 Superb 397 reviews,Signature Suite with Patio and Hot Tub Private suite 1 large double bed Free cancellation Only 1 left at this price on our site
Stefanos Garden,https://www.booking.com/hotel/gr/stefanos-garden.en-gb.html,€ 55,Scored 8.9 8.9 Fabulous 155 reviews,Superior Apartment Entire apartment • 1 bedroom • 1 bathroom • 30 m² 1 large double bed Free cancellation Only 1 left at this price on our site
Azure Beach Villas,https://www.booking.com/hotel/gr/azure-beach.en-gb.html,€ 90,Scored 8.6 8.6 Fabulous 464 reviews,"One-Bedroom Villa with Sharing Pool Entire villa • 1 bedroom • 1 bathroom • 1 kitchen • 50 m² 2 beds (1 sofa bed, 1 large double) Free cancellation Only 3 left at this price on our site"
Kavos Hotel & Suites,https://www.booking.com/hotel/gr/kavosbeachapartmentsandstudioschania.en-gb.html,€ 101,"Scored 9.4 9.4 Superb 1,081 reviews",Superior Double Studio with partial Sea View Entire studio • 1 bathroom • 22 m² 1 extra-large double bed Breakfast included Only 1 left at this price on our site
Liza's Place,https://www.booking.com/hotel/gr/lizas-place.en-gb.html,€ 52,Scored 9.5 9.5 Exceptional 45 reviews,"Apartment Entire apartment • 1 bedroom • 1 bathroom • 48 m² 3 beds (1 single, 1 double, 1 sofa bed) Free cancellation Only 1 left at this price on our site"
Nanakis Beach Apartments,https://www.booking.com/hotel/gr/nanakis-beach-apartments.en-gb.html,€ 76,Scored 9.6 9.6 Exceptional 425 reviews,"One-Bedroom Apartment with Garden View Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 45 m² 3 beds (2 sofa beds, 1 large double) Only 2 left at this price on our site"
Villa Venezia,https://www.booking.com/hotel/gr/villa-venezia.en-gb.html,€ 99,Scored 7.9 7.9 Good 255 reviews,Triple Room with City View Multiple bed types Free cancellation Only 1 room left at this price on our site
Elia Sea Suites,https://www.booking.com/hotel/gr/elia-sea-suites.en-gb.html,€ 220,Scored 9.4 9.4 Superb 244 reviews,"Queen Room - Disability Access 2 beds (1 double, 1 sofa bed) Breakfast included"
Casa Dasyra,https://www.booking.com/hotel/gr/casa-dasyra.en-gb.html,€ 53,Scored 9.0 9.0 Superb 370 reviews,Standard Double Room 1 large double bed Free cancellation Only 1 room left at this price on our site
Avra City Boutique Hotel,https://www.booking.com/hotel/gr/avra-city-hotel.en-gb.html,€ 178,Scored 9.0 9.0 Superb 252 reviews,Standard Single Room 1 single bed Breakfast included Only 1 room left at this price on our site
Downtown Delight,https://www.booking.com/hotel/gr/downtown-delight-khania.en-gb.html,€ 110,Scored 9.6 9.6 Exceptional 84 reviews,"Two-Bedroom Apartment Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 73 m² 4 beds (2 singles, 1 sofa bed, 1 large double)"
Aelios Design Hotel,https://www.booking.com/hotel/gr/aelios-design.en-gb.html,€ 71,Scored 9.3 9.3 Superb 527 reviews,Standard Double or Twin Room 1 large double bed Free cancellation No prepayment needed – pay at the property Only 1 room left at this price on our site
Mossa Well Being Hotel - Heated pool and Wellness Spa,https://www.booking.com/hotel/gr/mossa.en-gb.html,€ 172,Scored 9.7 9.7 Exceptional 300 reviews,"Superior Double Room - pool view 3 beds (2 sofa beds, 1 large double) Breakfast included Free cancellation Only 2 rooms left at this price on our site"
Domus Blanc Boutique Hotel,https://www.booking.com/hotel/gr/domus-blanc.en-gb.html,€ 204,Scored 9.8 9.8 Exceptional 202 reviews,Classic Double Room 1 large double bed Breakfast included Only 1 room left at this price on our site
Kydon The Heart City Hotel,https://www.booking.com/hotel/gr/kydon.en-gb.html,€ 132,"Scored 9.2 9.2 Superb 1,349 reviews",Comfort Double or Twin Room Beds: 1 double or 2 singles Breakfast included Free cancellation
SanSal Boutique Hotel,https://www.booking.com/hotel/gr/sansal-boutique.en-gb.html,€ 169,Scored 9.4 9.4 Superb 578 reviews,Deluxe Room 1 large double bed Breakfast included Only 1 room left at this price on our site
Secret Garden Hotel,https://www.booking.com/hotel/gr/secret-garden-maleme.en-gb.html,€ 66,Scored 8.8 8.8 Fabulous 285 reviews,Double Room with Balcony Beds: 1 double or 2 singles Only 1 room left at this price on our site
Smaragdi,https://www.booking.com/hotel/gr/smaragdi-73100.en-gb.html,€ 45,Scored 8.2 8.2 Very good 533 reviews,Double or Twin Room Beds: 1 double or 2 singles Only 1 room left at this price on our site
GT Beach,https://www.booking.com/hotel/gr/gt-beach.en-gb.html,€ 78,Scored 8.2 8.2 Very good 838 reviews,Deluxe Double Room with Sea View 2 single beds Breakfast included
Pension Lena,https://www.booking.com/hotel/gr/pension-lena.en-gb.html,€ 47,Scored 8.5 8.5 Very good 267 reviews,"Double Room 2 beds (1 double, 1 sofa bed) Only 1 room left at this price on our site"
Santrivani Rooms,https://www.booking.com/hotel/gr/santrivani.en-gb.html,€ 91,Scored 9.3 9.3 Superb 399 reviews,Deluxe Double or Twin Room Beds: 1 double or 2 singles Free cancellation Only 1 room left at this price on our site
Akrogiali,https://www.booking.com/hotel/gr/akrogiali-kissamos.en-gb.html,€ 58,Scored 8.6 8.6 Fabulous 169 reviews,"Studio Entire studio • 1 bathroom • 1 kitchen • 18 m² 2 beds (1 single, 1 double) Only 1 left at this price on our site"
Serenissima Boutique Hotel,https://www.booking.com/hotel/gr/serenissima.en-gb.html,€ 180,Scored 9.4 9.4 Superb 138 reviews,Standard Double Room 1 large double bed Breakfast included Only 1 room left at this price on our site
Leste Luxury Homes,https://www.booking.com/hotel/gr/leste-luxury-homes.en-gb.html,€ 150,Scored 9.8 9.8 Exceptional 207 reviews,"Two-Bedroom Home With Sea View & without Pool 3 beds (2 singles, 1 extra-large double) Only 1 room left at this price on our site"
Boutique Hotel Del Doge,https://www.booking.com/hotel/gr/doge-traditional.en-gb.html,€ 115,Scored 8.8 8.8 Fabulous 419 reviews,"Junior Suite Private suite 3 beds (1 single, 1 double, 1 sofa bed) Only 4 left at this price on our site"
La Maison Ottomane,https://www.booking.com/hotel/gr/la-maison-ottomane-chaniatown.en-gb.html,€ 281,Scored 9.7 9.7 Exceptional 281 reviews,Luxury Junior Suite Private suite 1 large double bed Breakfast included Only 1 left at this price on our site
Dreta Suites,https://www.booking.com/hotel/gr/dreta-suites.en-gb.html,€ 102,Scored 9.7 9.7 Exceptional 475 reviews,"Deluxe Studio Entire studio • 1 bathroom • 1 kitchen • 40 m² 2 beds (1 single, 1 large double) Free cancellation Only 1 left at this price on our site"
Madrugada,https://www.booking.com/hotel/gr/madrugada.en-gb.html,€ 164,Scored 9.5 9.5 Exceptional 104 reviews,"Two-Bedroom Apartment Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 86 m² 4 beds (2 singles, 1 sofa bed, 1 large double)"
Hera Studios,https://www.booking.com/hotel/gr/hera-studios.en-gb.html,€ 52,Scored 8.3 8.3 Very good 273 reviews,Budget Single Room 1 single bed Free cancellation Only 1 room left at this price on our site
Ambassadors Residence Boutique Hotel,https://www.booking.com/hotel/gr/ambassadors-residence.en-gb.html,€ 242,Scored 9.4 9.4 Superb 135 reviews,Classic Double Room 1 large double bed Breakfast included Free cancellation Only 1 room left at this price on our site
Kaliviani Traditional Hotel,https://www.booking.com/hotel/gr/kaliviani.en-gb.html,€ 122,Scored 9.7 9.7 Exceptional 330 reviews,Standard Double Room with Sea View 1 large double bed Only 3 rooms left at this price on our site
Almyrida Resort,https://www.booking.com/hotel/gr/almyrida-resort.en-gb.html,€ 106,Scored 8.8 8.8 Fabulous 202 reviews,Double or Twin Room with Garden View Beds: 1 double or 2 singles Breakfast included Free cancellation Only 3 rooms left at this price on our site
Polixeny's Suites,https://www.booking.com/hotel/gr/polyxeny-39-s-suites.en-gb.html,€ 69,Scored 9.5 9.5 Exceptional 445 reviews,"Junior Suite with Balcony Private suite • 1 bedroom • 1 living room • 1 bathroom • 70 m² 2 beds (1 sofa bed, 1 large double) Only 1 left at this price on our site"
Constantinos Budget Beds,https://www.booking.com/hotel/gr/constantinos-budget-beds.en-gb.html,€ 31,Scored 8.0 8.0 Very good 100 reviews,Budget Double Room Multiple bed types Free cancellation Only 4 rooms left at this price on our site
Geana Apartments,https://www.booking.com/hotel/gr/geana-apartments.en-gb.html,€ 52,Scored 8.5 8.5 Very good 361 reviews,Apartment - Ground Floor 1 Entire apartment • 1 bedroom • 1 bathroom • 22 m² 1 double bed Free cancellation Only 3 left at this price on our site
Areti Aparthotel,https://www.booking.com/hotel/gr/areti-aparthotel.en-gb.html,€ 56,Scored 8.2 8.2 Very good 333 reviews,"Ground Floor Room 2 beds (1 sofa bed, 1 large double)"
Scala de Faro,https://www.booking.com/hotel/gr/scala-residence-chania-town.en-gb.html,€ 242,Scored 9.4 9.4 Superb 90 reviews,Classic Double Room Street View 1 large double bed Breakfast included Free cancellation Only 2 rooms left at this price on our site
